numParticles 49189
-1.902423 -2.101518 -0.219190
-1.833516 -2.148175 -0.255109
4.017541 -1.930542 -0.962724
4.016203 -1.930529 -1.019888
4.013368 -1.931190 -0.741655
4.017437 -1.928447 -0.324213
4.013877 -1.930691 -0.863414
4.028072 -1.923234 -1.184350
4.019763 -1.927094 -0.530729
4.021782 -1.926163 -0.205493
4.016504 -1.930959 -0.688326
4.145182 -1.887674 -0.046343
4.073779 -1.906425 -0.084671
4.157597 -1.881458 -0.046025
4.029464 -1.921531 -1.390530
4.026043 -1.924809 -0.452530
4.246046 -1.882620 -0.024931
4.057096 -1.907348 -1.270888
4.031616 -1.920510 -1.421052
3.999379 -1.939514 -1.235688
4.019140 -1.928633 -1.132805
4.078550 -1.893140 -0.257071
4.047962 -1.913603 -0.104713
4.108193 -1.876102 -0.518760
4.026472 -1.923362 -0.522025
4.013585 -1.930664 -0.903935
4.028267 -1.922498 -1.072501
4.115038 -1.872052 -1.406454
4.113511 -1.872932 -0.441022
4.296974 -1.881782 -0.022849
4.017441 -1.929905 -0.321994
4.305720 -1.798271 -0.043565
4.186532 -1.831629 -0.100443
4.242294 -1.797281 -0.173185
4.032192 -1.921503 -1.348857
4.162574 -1.844506 -0.960713
4.094622 -1.885383 -0.885280
4.023045 -1.925529 -0.395614
4.248034 -1.796913 -0.095874
4.092629 -1.885109 -0.978691
4.181239 -1.834491 -1.432046
4.041917 -1.915280 -0.154199
4.065279 -1.900945 -0.607363
4.198637 -1.822585 -0.227944
4.122309 -1.867850 -1.212449
4.100186 -1.880626 -0.364382
4.011301 -1.932999 -0.669446
4.111346 -1.875424 -1.303501
4.109450 -1.875280 -0.809510
4.099092 -1.882513 -1.140997
4.136202 -1.859845 -0.232416
4.179721 -1.833417 -1.251642
4.120850 -1.868686 -0.650251
4.161439 -1.844514 -0.740382
4.166698 -1.841834 -1.336417
4.313679 -1.752239 -0.109551
4.131683 -1.862352 -0.157457
4.153857 -1.849069 -0.585513
4.093875 -1.884350 -0.731933
4.189396 -1.828006 -1.024481
4.176670 -1.835674 -0.504851
4.228350 -1.804066 -1.381684
4.221880 -1.808028 -0.314687
4.153028 -1.849479 -0.306643
4.239966 -1.798158 -1.302051
4.191648 -1.826450 -0.666431
4.164121 -1.843133 -0.882463
4.163898 -1.844652 -1.107067
4.021450 -1.926994 -0.805640
4.215623 -1.812463 -0.445835
4.298248 -1.762131 -1.363120
4.198372 -1.822141 -1.171237
4.270260 -1.778844 -0.246761
4.257730 -1.786353 -0.383851
4.224037 -1.806666 -0.594210
4.231654 -1.802133 -0.750964
4.250544 -1.791202 -0.524374
4.109465 -1.875264 -1.054010
4.263546 -1.782891 -0.679864
4.192981 -1.825451 -0.817122
4.174168 -1.838552 -0.388818
4.254274 -1.789812 -1.224028
4.233326 -1.802772 -1.085477
4.260194 -1.784867 -0.843186
4.258624 -1.785814 -0.996396
4.226853 -1.805916 -0.921147
4.275236 -1.775798 -1.146179
4.292284 -1.765933 -0.461573
4.293327 -1.764871 -0.607754
4.297336 -1.764118 -0.767905
4.294385 -1.764214 -0.919437
4.311879 -1.754592 -1.281820
4.300781 -1.760192 -1.064915
4.298775 -1.761545 -0.317812
4.321966 -1.747567 -0.180256
4.375572 -1.870679 -0.022006
4.337251 -1.737257 -1.428234
4.463934 -1.847332 -0.022098
4.394250 -1.869800 -0.022103
4.392106 -1.777103 -0.030993
4.519976 -1.839622 -0.022128
4.575991 -1.850516 -0.022002
4.619921 -1.850405 -0.022004
4.428522 -1.719881 -0.044117
4.642238 -1.792214 -0.133797
4.327206 -1.745028 -1.206994
4.401253 -1.697117 -1.400712
4.372845 -1.715051 -0.108522
4.502051 -1.749506 -0.022000
4.734084 -1.847885 -0.022012
4.676558 -1.847499 -0.022023
4.710153 -1.788834 -0.144796
4.597511 -1.758751 -0.022000
4.610550 -1.806594 -0.197878
4.786606 -1.855561 -0.022009
4.782071 -1.799318 -0.181301
4.722764 -1.757431 -0.022000
4.834321 -1.856526 -0.022015
4.837461 -1.789551 -0.136458
4.730349 -1.662746 -0.022000
4.345244 -1.734159 -0.246625
4.492362 -1.665578 -0.055431
4.798872 -1.794997 -0.274658
4.362511 -1.721478 -1.332992
4.890177 -1.848667 -0.022000
4.701277 -1.796324 -0.243853
4.906718 -1.795913 -0.149412
4.568747 -1.682927 -0.023829
4.330418 -1.741556 -0.394241
4.348301 -1.730643 -1.134800
4.660481 -1.713039 -0.023435
4.363379 -1.721022 -0.469917
4.992917 -1.791534 -0.224583
4.927447 -1.710398 -0.240163
4.817683 -1.764273 -0.022000
4.756950 -1.709701 -0.133317
4.907402 -1.752517 -0.022000
4.873912 -1.797299 -0.235197
4.330243 -1.741664 -0.992094
4.323829 -1.745851 -0.538633
4.946191 -1.844732 -0.022000
4.328632 -1.742684 -0.844922
4.976518 -1.791731 -0.135825
4.430691 -1.678496 -1.309733
4.651449 -1.630601 -0.023527
4.578681 -1.609190 -0.054878
4.411347 -1.690662 -0.181271
5.052591 -1.849764 -0.022006
4.917335 -1.699692 -0.132128
4.442560 -1.671032 -0.110654
5.045640 -1.779541 -0.151653
4.329442 -1.742431 -0.691398
4.808882 -1.692230 -0.023868
5.104764 -1.849090 -0.022000
5.160033 -1.848797 -0.022001
4.365728 -1.720273 -0.920034
4.408129 -1.694026 -0.400257
4.881277 -1.791754 -0.323813
4.473495 -1.651522 -1.373414
4.525947 -1.618491 -0.101724
4.361757 -1.721995 -0.616875
5.002478 -1.848114 -0.022000
5.214395 -1.846949 -0.022029
4.364463 -1.720250 -0.769417
4.883751 -1.659251 -0.022000
4.374113 -1.714414 -1.062633
4.978910 -1.790291 -0.303643
5.009410 -1.757355 -0.022000
4.400291 -1.697616 -0.692837
4.947985 -1.600770 -0.022000
5.115388 -1.785524 -0.141479
4.415659 -1.687949 -0.256463
4.400799 -1.697765 -0.544334
4.730957 -1.576650 -0.023511
4.408307 -1.692575 -0.993649
4.387640 -1.707010 -1.243380
5.116138 -1.758252 -0.022000
5.002163 -1.671267 -0.133502
4.877250 -1.563095 -0.022000
5.066647 -1.790379 -0.273115
4.403163 -1.696608 -0.845675
4.437121 -1.674453 -0.620280
4.414038 -1.689208 -1.158717
4.808395 -1.612435 -0.024113
4.370697 -1.716501 -0.326484
4.919895 -1.704715 -0.349890
4.494021 -1.637691 -0.173783
5.184872 -1.791199 -0.139285
4.962813 -1.691007 -0.022000
4.437895 -1.673987 -0.770209
4.443579 -1.670391 -1.077487
4.499621 -1.634420 -1.295473
4.792303 -1.792091 -0.353977
4.441416 -1.671752 -0.920663
5.142964 -1.794416 -0.225756
4.662432 -1.554697 -0.052732
4.802974 -1.526414 -0.023635
4.456573 -1.662211 -1.226613
5.065042 -1.696574 -0.022000
5.090643 -1.688176 -0.136940
4.480715 -1.646842 -0.248177
4.483118 -1.644886 -1.147507
4.474189 -1.650695 -0.547396
4.873715 -1.477123 -0.023438
4.682319 -1.512592 -0.114159
4.471352 -1.652588 -0.693792
4.472863 -1.652573 -0.844820
5.172684 -1.673199 -0.135148
4.476353 -1.649262 -0.999222
5.157117 -1.681925 -0.022000
5.083732 -1.787634 -0.357766
4.734121 -1.503316 -0.057332
4.545374 -1.604031 -1.364236
4.440104 -1.672578 -0.473827
5.264380 -1.699974 -0.238181
4.569676 -1.588727 -0.170985
4.639487 -1.690667 -0.142086
5.267031 -1.841928 -0.022013
5.232620 -1.795814 -0.239391
4.510068 -1.629007 -0.921115
4.526536 -1.616415 -1.217067
4.507834 -1.628630 -0.620560
4.514158 -1.624563 -1.070393
4.758558 -1.460561 -0.115185
4.507311 -1.628969 -0.768923
5.173776 -1.787484 -0.309044
4.608959 -1.563705 -0.102556
5.312340 -1.620111 -0.134298
4.546266 -1.603439 -0.993667
5.259256 -1.701065 -0.135013
4.950009 -1.519834 -0.022999
5.260365 -1.794801 -0.136271
5.021688 -1.625567 -0.022000
4.447854 -1.667704 -0.329077
4.612980 -1.559710 -1.361254
5.143501 -1.690328 -0.337092
5.102131 -1.614579 -0.022000
4.512746 -1.626309 -0.473141
4.542454 -1.606362 -0.843876
4.570194 -1.587893 -1.288149
4.805943 -1.453693 -0.056855
5.364691 -1.702209 -0.136458
4.518134 -1.621980 -0.323619
4.543328 -1.605573 -0.694199
4.585052 -1.578016 -1.065103
5.211293 -1.751042 -0.022000
4.554267 -1.599502 -1.140375
5.246485 -1.782611 -0.352322
4.578819 -1.583679 -0.917205
5.319498 -1.799505 -0.172555
4.479830 -1.647418 -0.400104
5.266651 -1.687919 -0.330696
4.576995 -1.583716 -0.767796
4.637889 -1.542917 -1.283478
5.311924 -1.793940 -0.277548
5.012295 -1.467222 -0.023678
4.544928 -1.605070 -0.546183
4.547890 -1.602375 -0.244291
5.322470 -1.835874 -0.022013
5.456629 -1.792215 -0.154602
5.262263 -1.786979 -0.443141
4.624306 -1.552185 -1.136329
4.616184 -1.557610 -0.988954
4.550118 -1.601118 -0.398236
4.614919 -1.558485 -0.247709
4.595599 -1.572167 -1.211575
5.086315 -1.476047 -0.023475
4.578891 -1.582246 -0.618635
4.610379 -1.561414 -0.841579
4.582201 -1.579883 -0.471598
5.362967 -1.688942 -0.233384
5.164993 -1.687549 -0.233721
5.387482 -1.796578 -0.234902
5.416787 -1.616216 -0.133093
5.379559 -1.837366 -0.022000
4.643085 -1.540538 -0.178236
4.614369 -1.558799 -0.545132
4.654042 -1.532474 -1.060056
4.586042 -1.577366 -0.322714
4.619070 -1.556022 -0.396496
5.409816 -1.793090 -0.325825
4.678880 -1.514940 -1.357274
4.611513 -1.560671 -0.692394
4.663262 -1.525747 -1.207160
4.647232 -1.537083 -0.912637
5.383891 -1.799236 -0.126330
4.684692 -1.511665 -0.247171
5.304669 -1.746667 -0.023124
5.246799 -1.674368 -0.022000
4.650942 -1.534006 -0.469705
5.199974 -1.604875 -0.242842
4.653649 -1.532203 -0.320810
5.527643 -1.793260 -0.134883
4.720866 -1.486763 -1.428376
4.648437 -1.537125 -0.617404
4.703849 -1.497900 -1.277236
4.683849 -1.511641 -0.983230
5.038602 -1.547684 -0.022660
5.436150 -1.843058 -0.022002
4.645122 -1.538515 -0.764387
4.721559 -1.487215 -0.180777
4.956508 -1.780318 -0.446237
5.333816 -1.664354 -0.401425
4.692100 -1.506020 -1.130237
4.682510 -1.512464 -0.541406
4.687188 -1.510965 -0.393226
5.440510 -1.751639 -0.022000
4.679941 -1.514518 -0.689336
4.678204 -1.515805 -0.836200
4.743700 -1.472062 -1.345248
5.165843 -1.769980 -0.406542
5.333584 -1.787283 -0.370336
4.722278 -1.486723 -0.317901
5.380288 -1.691617 -0.323526
4.721299 -1.486388 -1.053503
4.731455 -1.480267 -1.198186
4.718405 -1.489456 -0.465265
4.712898 -1.492212 -0.760419
5.420073 -1.789078 -0.425806
4.753069 -1.464308 -0.390812
5.189492 -1.606149 -0.022000
4.714878 -1.490393 -0.613688
5.097032 -1.595952 -0.235973
5.295101 -1.604631 -0.237774
5.462620 -1.698702 -0.141955
4.770000 -1.454251 -1.264678
4.714717 -1.491426 -0.906290
5.371197 -1.711640 -0.022000
4.749370 -1.467153 -0.538357
4.759457 -1.460428 -1.120759
5.083261 -1.598203 -0.331732
4.746225 -1.469765 -0.830210
5.383803 -1.596167 -0.335610
5.477087 -1.790837 -0.244049
4.746930 -1.468867 -0.684461
4.860736 -1.794689 -0.405950
5.323548 -1.643863 -0.022000
4.750167 -1.467314 -0.976408
5.199066 -1.621461 -0.349726
5.462062 -1.697762 -0.255277
5.487623 -1.618833 -0.233740
5.345133 -1.779502 -0.461281
5.393335 -1.608159 -0.022152
5.456232 -1.687128 -0.382194
5.505677 -1.785371 -0.440422
5.224822 -1.595857 -0.139448
5.287131 -1.578941 -0.327298
5.479678 -1.585732 -0.328575
5.487748 -1.844348 -0.022031
5.387952 -1.687703 -0.470979
5.154305 -1.541245 -0.328724
5.487350 -1.792116 -0.353546
5.252357 -1.684290 -0.441613
5.601648 -1.793700 -0.137495
5.463199 -1.774258 -0.511171
5.054601 -1.685317 -0.390221
4.718531 -1.778064 -0.393255
5.544241 -1.843034 -0.022000
5.450860 -1.672563 -0.022813
5.507253 -1.600334 -0.132436
5.415650 -1.520250 -0.022000
5.568271 -1.688620 -0.236019
5.064534 -1.792515 -0.445248
4.888165 -1.617632 -0.235538
5.324688 -1.772601 -0.541051
5.528755 -1.749384 -0.022000
